,Adj P Val,F statistic
Dusp2,0.628057197,-0.132676422
Tfdp1,0.630588287,-0.007096963
Il11ra1,0.632485256,-0.053814378
Wnt5a,0.635570638,-0.02106451
Id1,0.639172163,-0.103916185
Eif4ebp1,0.64162612,-0.011085638
Cdh1,0.65663655,-0.03643394
Plcb1,0.666567118,-0.041060277
Skp2,0.69170151,-0.034147958
Wnt16,0.717617929,-0.053238304
Col5a1,0.717673195,-0.026375004
Gdf6,0.720731957,-0.05296824
Vegfc,0.737063195,-0.012473128
Fzd10,0.737063195,-0.050514132
Il2,0.74366475,-0.092583937
Mllt3,0.748952796,-0.025453405
Myc,0.759604474,-0.053785571
Dll1,0.761620848,-0.03236669
Hmga2,0.761620848,-0.037839444
Cdk2,0.761620848,-0.006505508
Ptk2,0.774317823,-0.011586804
Sos1,0.779739493,-0.014446363
Npm1,0.780169563,-0.010159993
Hpgd,0.798632564,-0.024338144
Tslp,0.802288522,-0.050558903
Nfatc1,0.80777657,-0.02501315
Xpc,0.814426589,-0.018163068
Il4,0.815536465,-0.045089457
Tlr2,0.822946564,-0.017889039
Map3k8,0.82297109,-0.018739956
Jak3,0.850830939,-0.010020078
Il6ra,0.857522389,-0.01290946
Tgfb2,0.867912205,-0.013654354
Rasa4,0.867912205,-0.00830066
Prkaa2,0.890727709,-0.021596341
Fos,0.891333354,-0.051907209
Tnf,0.912031738,-0.035659484
Stk4,0.912031738,-0.005042057
Atrx,0.914239798,-0.003883261
Nf1,0.915057472,-0.003267931
Endog,0.923280778,-0.004580863
Nkd1,0.923484639,-0.011059135
Cacna1d,0.92984293,-0.007379358
Mapk12,0.936964726,-0.004420276
Tiam1,0.936964726,-0.00517151
Vhl,0.947159652,-0.001698507
Hdac1,0.947677388,-0.001922086
Il6,0.94975595,-0.00373963
Flnc,0.960603922,-0.002380616
Fosl1,0.964363815,-0.003844632
Pik3cg,0.967924886,-0.000953418
Id4,0.970138007,-0.004028458
Pcna,0.972932833,-0.00164667
Nbn,0.99109973,-0.00041484
Hras,0.99109973,-0.00019221
